"","Abbr","State","Population","Slope","Intercept","Peak","K","Cases","Deaths","Mortality","Tests","Dtime","Today","Week","TestingFraction","state"
"1","AL","Alabama",4903185,0.0294273600234309,8.6756018766241,10.670707528343,0.0146519681366691,6539,228,3.5,73997,23.5495130874198,0.133362294100671,0.145127623253717,1.50916190190662,"Alabama"
"2","AK","Alaska",731545,0.01,5.81985148771994,6.43330141786861,0.01,346,9,2.6,16256,25,0.0472971587530501,0.0480064772333932,2.22214627944966,"Alaska"
"3","AZ","Arizona",7278717,0.0381228299256992,8.66788455275705,10.6618324189661,0.0192177516826447,6716,275,4.1,66543,18.1780838765287,0.092269008398046,0.102649444937498,0.914213315341151,"Arizona"
"4","AR","Arkansas",3017804,0.0398589842461036,7.89426093166709,9.87106980267048,0.0185850434956406,3069,51,1.7,40457,17.3862935322479,0.10169646537681,0.11310243153256,1.34061058968707,"Arkansas"
"5","CA","California",39512223,0.0321087543190954,10.5927098874199,12.5866853016716,0.0161999299663354,45174,1779,3.9,553409,21.5828989537556,0.114329178593672,0.124870979107721,1.40060203648881,"California"
"6","CO","Colorado",5758736,0.0513159452277986,9.35444577132955,11.3356431219186,0.0246736252177605,13804,704,5.1,63274,13.504574395418,0.239705379791676,0.274624861861661,1.09874805860175,"Colorado"
"7","CT","Connecticut",3565287,0.0291118672214755,10.0509977329252,12.0479579118647,0.0148110758822077,25997,2012,7.7,79811,23.8047252252092,0.729169909743592,0.791426321529766,2.23855751304173,"Connecticut"
"8","DE","Delaware",973764,0.0618009643362671,8.07841608568088,10.0818315174048,0.0348421263915531,4162,125,3,19616,11.2134172572016,0.427413623834933,0.51081960729765,2.01445114011198,"Delaware"
"9","DC","District of Columbia",705749,0.03783708423808,8.13677202778847,10.124181307122,0.0181370163463141,3892,185,4.8,18416,18.3153647791536,0.551470848701167,0.613783341998809,2.60942629745136,"District of Columbia"
"10","FL","Florida",21477737,0.0193424355437607,10.2997985882808,12.297242093697,0.01,32138,1088,3.4,357562,25,0.149634014049059,0.158417841753289,1.664802953868,"Florida"
"11","GA","Georgia",10617423,0.0225986875104222,9.97513662686872,11.9750266922507,0.0116907253709649,23619,992,4.2,127169,25,0.222455109869881,0.236795937117139,1.19773884868296,"Georgia"
"12","HI","Hawaii",1415872,0.01,6.3933659877803,6.81132099484181,0.01,607,9,1.5,29010,25,0.0428711069927225,0.0434361324888988,2.04891402612666,"Hawaii"
"13","ID","Idaho",1787065,0.0107236552706047,7.51820216231514,8.53923027349616,0.01,1917,58,3,19895,25,0.107270860321253,0.1103955991592,1.1132779165839,"Idaho"
"14","IL","Illinois",12671821,0.0535697216047274,10.5300539887361,12.5222304454987,0.0274107517648032,45883,1983,4.3,227628,12.9364121977973,0.362086869756131,0.418176097249454,1.79633219250809,"Illinois"
"15","IN","Indiana",6732219,0.0596342670815393,9.44651551130305,11.437264958543,0.030765651916987,15961,661,4.1,84476,11.6208353672301,0.237083790649116,0.276643687508719,1.25480172287919,"Indiana"
"16","IA","Iowa",3155070,0.101432533283349,8.26696916421831,8.90421789279999,0.257949726810302,5868,127,2.2,38150,6.83212749960728,0.185986364803317,0.210162046577267,1.20916493136444,"Iowa"
"17","KS","Kansas",2913314,0.072216738246601,7.81473961164802,8.18891332952101,0.382341804806195,3328,121,3.6,27167,9.59611326717067,0.114234167686696,0.120456624924064,0.932511909117932,"Kansas"
"18","KY","Kentucky",4467673,0.0433067192235317,8.18228560981495,10.1615847623958,0.020537606373383,4146,213,5.1,48474,16.0021357522609,0.0927999878236388,0.104363007728123,1.08499435836061,"Kentucky"
"19","LA","Louisiana",4648794,0.0125004293354278,10.1589749623783,11.3794540713264,0.01,27068,1697,6.3,146989,25,0.582258538451048,0.603227236306618,3.16187381071306,"Louisiana"
"20","ME","Maine",1344212,0.0226138757563312,6.85248364943785,8.84361926109545,0.0106538987677921,1023,51,5,17807,25,0.0761040669180159,0.0812216702959774,1.32471663695905,"Maine"
"21","MD","Maryland",6045680,0.0539493558808065,9.66806966924681,11.6644659382958,0.0280495839202207,19487,800,4.1,104976,12.8453804255066,0.322329332680526,0.373173781281642,1.73638035754456,"Maryland"
"22","MA","Massachusetts",6892503,0.0481745357106345,10.7825818943635,12.7528554476398,0.0221446914832063,56462,3003,5.3,244887,14.3851931269785,0.819179911854953,0.927493278002681,3.55294731101314,"Massachusetts"
"23","MI","Michigan",9986857,0.0189382167651619,10.4864368699298,12.2004910470647,0.01,38210,3410,8.9,157760,25,0.382602854932237,0.402808999835731,1.57967616838811,"Michigan"
"24","MN","Minnesota",5639632,0.0475280972872292,7.94485297964929,9.93579343680571,0.023862121456198,3370,286,8.5,61268,14.5808487937557,0.0597556720012937,0.0679461309874284,1.0863829412983,"Minnesota"
"25","MS","Mississippi",2976149,0.0420814886155002,8.55997050778442,10.5505718609859,0.0208860499871969,6094,229,3.8,63462,16.4680486075947,0.20476125355283,0.229869357693403,2.13235291647024,"Mississippi"
"26","MO","Missouri",6137428,0.0300854365759765,8.76344083124929,10.7524739865812,0.0146517002550159,7148,290,4.1,71106,23.0344006559428,0.116465724730294,0.12651190226421,1.15856348946171,"Missouri"
"27","MT","Montana",1068778,0.01,6.09802788956202,6.50819899712154,0.01,452,16,3.5,13033,25,0.0422912896784926,0.042805087338748,1.21943004066326,"Montana"
"28","NE","Nebraska",1934408,0.101308527129509,7.55139774077136,11.6043677117444,0.0262747633754401,2881,14,0.5,22363,6.84049032826321,0.148934454365367,0.194398848927185,1.15606428426681,"Nebraska"
"29","NV","Nevada",3080156,0.0283815871332623,8.35980233732242,10.3503932413397,0.0136168752330703,4726,223,4.7,38813,24.4172391327554,0.153433787119873,0.166203707473762,1.26009851449082,"Nevada"
"30","NH","New Hampshire",1359711,0.0378647763942514,7.41260641531575,9.41753589445536,0.0202178035204744,1938,60,3.1,19994,18.3019699571027,0.142530287686133,0.158750227236951,1.47045953147397,"New Hampshire"
"31","NJ","New Jersey",8882190,0.0280626085234337,11.5151586032851,13.5129912517444,0.014122989682288,111478,6047,5.4,227775,24.6947820057893,1.2550733546569,1.36182907813217,2.56440134696511,"New Jersey"
"32","NM","New Mexico",2096829,0.0422209235623385,7.79190472536989,9.77874255019289,0.0206169800764546,2823,99,3.5,56615,16.4136627418109,0.134631865545545,0.150791968842709,2.70002942538471,"New Mexico"
"33","NY","New York",19453561,0.0264434554600496,12.4921979080322,14.3856453676637,0.0132592302069834,292065,17303,5.9,826095,25,1.50134466383815,1.61875601002414,4.24649759496475,"New York"
"34","NC","North Carolina",10488084,0.0435459005015395,8.91978570412341,10.9105740832408,0.0216649281765666,8789,306,3.5,109920,15.9142420300965,0.0837998627776055,0.0943578447618898,1.04804652594316,"North Carolina"
"35","ND","North Dakota",762062,0.0715935494894537,6.54395614483775,11.1458879233899,0.0167715001658476,942,9,1,22434,9.67964299775477,0.123611989575651,0.151844818671154,2.94385496193223,"North Dakota"
"36","OH","Ohio",11689100,0.0262085754969446,9.59909822058704,11.5952407527215,0.0131549857859968,16325,753,4.6,119391,25,0.139660025151637,0.150424540194731,1.02138744642445,"Ohio"
"37","OK","Oklahoma",3956971,0.0244157545940224,8.00760852882004,10.0106363007399,0.0121075953241362,3280,197,6,53171,25,0.0828916865956308,0.0893277847898826,1.34372983779765,"Oklahoma"
"38","OR","Oregon",4217737,0.026348000687649,7.66417870444717,9.66214023144042,0.0131901521458373,2354,92,3.9,51198,25,0.0558119199940632,0.0602503649497209,1.21387369577572,"Oregon"
"39","PA","Pennsylvania",12801989,0.031600999320328,10.5318760504533,12.5221898407318,0.0153824128677295,42050,1597,3.8,203422,21.9296862410997,0.328464584682896,0.358836289301963,1.58898746124528,"Pennsylvania"
"40","RI","Rhode Island",1059361,0.0491322698371728,8.7359879990834,10.7323273043615,0.0252667334607546,7492,233,3.1,55885,14.1047829114478,0.707218785664188,0.811887164388763,5.27534995152738,"Rhode Island"
"41","SC","South Carolina",5148714,0.0299127879644056,8.49340703485572,10.4986274931043,0.0163507295932296,5613,177,3.2,50761,23.1673490556824,0.109017513887934,0.117793795348605,0.985896672450635,"South Carolina"
"42","SD","South Dakota",884659,0.0357045491230959,7.5725947949626,7.77024349472206,0.3356527936181,2245,11,0.5,16375,19.4092914494115,0.253770096726535,0.262789600609513,1.8509956943862,"South Dakota"
"43","TN","Tennessee",6829174,0.0467824787781329,9.03002702728653,11.0228809207225,0.0235541011005369,9918,184,1.9,154402,14.813238163086,0.145229862352314,0.16553106243559,2.26091764538435,"Tennessee"
"44","TX","Texas",28995881,0.0361507763310628,10.001128443349,11.9970755090335,0.0182674887762765,25297,663,2.6,290517,19.1697128065417,0.0872434260576528,0.096637976948508,1.00192506652928,"Texas"
"45","UT","Utah",3205958,0.0403115171803594,8.19916527973284,10.1952182744277,0.0204911906847621,4239,41,1,100195,17.1911167942259,0.132222568106008,0.148160087882145,3.12527487883497,"Utah"
"46","VT","Vermont",623989,0.0102503454017958,6.71220188796582,7.74918245591601,0.01,855,47,5.5,15073,25,0.137021646214917,0.141365060914922,2.41558745426602,"Vermont"
"47","VA","Virginia",8535519,0.0463649576122432,9.36412580647668,11.3231937035114,0.0204690639812075,13545,462,3.4,81221,14.9466328815753,0.1586898230793,0.177473909873724,0.951564866764399,"Virginia"
"48","WA","Washington",7614893,0.0182362091824618,9.45702794542194,11.231542033474,0.01,13686,765,5.6,175477,25,0.179726753875596,0.189484084921123,2.30439219566184,"Washington"
"49","WV","West Virginia",1792147,0.0218732620912388,6.89384955870466,8.88807418639271,0.0110544674308318,1077,37,3.4,43039,25,0.0600955167182156,0.0638378491405152,2.40153290996777,"West Virginia"
"50","WI","Wisconsin",5822434,0.0470532902445477,8.52323678429232,8.81362730025854,0.26707172846849,6081,281,4.6,67596,14.727981750018,0.104440857552013,0.110448072744753,1.16095777126885,"Wisconsin"
"51","WY","Wyoming",578759,0.0369899765370418,5.80937716366214,7.80582657807017,0.0192665724294167,389,1,0.3,8167,18.7348050709367,0.0672127776846667,0.0741097604918988,1.41112276439762,"Wyoming"
